model,model_key,fps,horizon_seconds,metric,value,sample_count,source_audit
NWM,nwm-real,1,1,lpips_alex,0.276541165,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,1,dreamsim,0.102297852,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,1,psnr,16.9824462,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,2,lpips_alex,0.324612908,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,2,dreamsim,0.119503015,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,2,psnr,15.8105813,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,4,lpips_alex,0.385208779,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,4,dreamsim,0.152471404,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,4,psnr,14.579245,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,8,lpips_alex,0.493137984,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,8,dreamsim,0.283220261,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,8,psnr,12.6837101,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,16,lpips_alex,0.608013136,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,16,dreamsim,0.457372028,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,1,16,psnr,10.9661703,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_1fps_audit.json
NWM,nwm-real,4,1,lpips_alex,0.299800954,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,1,dreamsim,0.110880179,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,1,psnr,16.3677161,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,2,lpips_alex,0.371032818,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,2,dreamsim,0.135926035,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,2,psnr,14.7944575,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,4,lpips_alex,0.449791226,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,4,dreamsim,0.213851111,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,4,psnr,13.3136231,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,8,lpips_alex,0.529811932,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,8,dreamsim,0.345817972,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,8,psnr,11.8340353,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,16,lpips_alex,0.604931775,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,16,dreamsim,0.467534682,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
NWM,nwm-real,4,16,psnr,10.6997271,150,/file_system/nas/algorithm/dujun.nie/nwm/results/nwm_comparison_20260825/nwm_real_200k/recon_rollout_4fps_audit.json
